Name,Temperature,Carbon,Water,Rhodium,Iron,Atmosphere Color,Moons,Habitable
HR 6202c,300927,Low,Medium,Low,Medium,Yellow,4,1
LHS 4314n,319826,High,Low,Medium,Low,Yellow,5,1
HD 8693y,298178,Low,High,Low,High,Yellow,6,0
HD 6966r,274117,High,High,High,High,Red,0,0
K2-6725p,330206,Low,Medium,Low,Low,Yellow,6,1
LHS 505r,319345,High,Low,Low,Medium,Yellow,5,1
Kepler-1425f,305954,Low,Low,Medium,Low,Blue,6,1
Ross 7803j,306783,Medium,High,Low,Low,Blue,6,1
Kepler-5884f,338198,High,High,Low,Low,Yellow,4,1
LHS 4965r,306934,Medium,High,High,High,Red,2,0
Ross 5013q,277704,Low,Medium,Low,High,Red,3,0
HR 7319r,273242,Low,High,Low,High,Yellow,0,0
KELT-832e,317734,Low,Low,Low,High,Yellow,5,1
HD 7321b,300841,High,High,High,High,Red,2,0
Kepler-8351v,277907,High,High,High,Medium,Red,2,0
Kepler-1864f,293251,Medium,High,High,Low,Red,5,0
HD 7635e,337804,Low,Low,Low,Low,Blue,4,1
HD 6823m,327479,Low,High,Medium,Low,Yellow,5,1
WASP-6922r,313031,High,High,High,Medium,,3,0
HR 872b,274594,Low,Medium,High,Low,Yellow,7,1
Gliese 282m,276053,Low,High,Low,Low,Red,8,1
WASP-5711g,303416,High,High,High,High,Yellow,4,0
HD 2256i,313352,Low,Low,Low,Medium,Yellow,6,1
Kepler-1361b,319176,Medium,Low,Medium,Low,Yellow,2,1
Ross 9571k,299949,High,High,High,High,Blue,4,0
Kepler-3900k,323681,Low,Low,Low,Low,Yellow,3,1
TRAPPIST-4633l,279164,Medium,Low,High,Medium,Yellow,8,1
LHS 7971y,278413,High,Medium,High,High,Red,8,0
TRAPPIST-6404i,300541,High,High,High,Low,Red,1,0
HD 7852n,311035,Low,Medium,Medium,Medium,Yellow,1,1
WASP-7010w,318323,Low,Medium,High,High,Yellow,5,0
Kepler-1540o,322901,Low,Medium,High,Low,Yellow,5,1
WASP-545u,301841,Low,Low,High,High,Blue,7,0
Ross 1117n,287881,High,High,High,Low,Red,6,0
K2-5506p,304990,High,High,High,High,Blue,8,0
HD 546s,336872,Low,Low,Low,Low,Yellow,1,1
LHS 2315e,305951,Low,Low,Medium,Low,Yellow,7,1
K2-143f,276115,High,High,High,High,Red,3,0
TRAPPIST-834k,312299,Low,High,Medium,Low,Yellow,7,1
HD 4993x,316461,Low,High,Low,Low,Yellow,5,1
HD 6132i,280818,Low,High,High,High,Red,1,0
LHS 5376x,296948,High,High,High,High,Red,6,0
HD 7070l,274133,High,High,Medium,High,Blue,3,0
KELT-8325s,266717,High,Medium,Low,Low,Yellow,4,1
Gliese 2371r,267314,High,High,Low,Low,Red,2,0
K2-5402a,339603,Low,High,High,Low,Yellow,5,1
K2-1613k,316153,Low,Low,High,Low,Yellow,8,1
LHS 5579v,311909,Medium,Medium,High,High,Blue,2,0
Kepler-7181m,329937,Low,Low,Low,Medium,Yellow,4,1
TRAPPIST-6624w,311329,Low,Medium,Low,Low,Yellow,7,1
LHS 4915z,315165,Low,Medium,Low,Low,Yellow,8,1
TRAPPIST-8481j,309087,Medium,Low,Low,Low,Yellow,5,1
LHS 3313h,288049,High,High,High,High,Blue,0,0
KELT-9929e,311968,Low,High,High,High,,3,0
HR 3710l,325106,Low,Low,High,High,Yellow,3,1
HR 5923w,324917,Low,Low,Low,High,Yellow,8,1
HD 3394c,278208,High,High,Medium,High,Red,4,0
HD 7584s,271815,Low,Medium,Medium,Low,Yellow,4,1
WASP-2928w,306157,High,High,High,High,Red,3,0
WASP-1957f,312719,High,Medium,High,High,Yellow,2,0
HD 7028h,280760,Medium,High,High,High,Red,6,0
Gliese 9293e,277561,High,High,High,High,,7,0
Gliese 1323c,308208,Low,Low,Medium,Low,Yellow,6,1
HR 2568s,303066,Low,High,Low,High,Blue,7,0
LHS 5561l,293533,Low,Low,Medium,High,Yellow,5,1
KELT-5345v,315128,High,Medium,High,High,Red,2,0
KELT-8355u,268736,Low,Low,High,High,Red,6,0
K2-4703x,291658,High,High,High,High,Red,3,0
Ross 5816g,314358,Low,Medium,Low,Low,Red,4,1
K2-2587s,316541,High,High,High,High,Red,3,0
TRAPPIST-1395d,272022,High,High,High,Medium,Blue,4,0
K2-2482g,269156,Medium,Low,High,Low,Yellow,7,1
HR 8789c,315454,Low,Medium,Low,Low,Blue,8,1
TRAPPIST-6992q,269014,Medium,High,Low,Medium,Red,2,0
HR 171t,300797,High,Low,Medium,High,Red,6,0
K2-164b,286804,High,High,High,High,Red,3,0
K2-7271y,333870,Low,Medium,High,Low,Yellow,4,1
TRAPPIST-3033i,293993,Medium,High,High,Low,Blue,4,0
K2-1297n,294007,High,High,High,Low,Blue,3,0
HD 5821c,318688,High,High,High,Low,Yellow,1,1
Kepler-6668i,330013,Medium,High,Medium,Low,Yellow,5,1
K2-8850p,304465,Low,Medium,Low,Low,Yellow,7,1
WASP-5352a,326709,Low,High,High,Medium,Blue,5,1
TRAPPIST-6720c,313585,High,Low,Low,Low,Yellow,7,1
KELT-2966s,317571,High,Medium,Low,Low,Yellow,6,1
Ross 5860n,293704,High,High,High,High,Yellow,5,0
Gliese 2823r,304077,High,High,Low,High,Yellow,1,0
LHS 1548x,327087,High,High,Medium,High,Blue,2,0
K2-2429b,330293,Low,Medium,Low,Low,Yellow,7,1
Ross 5330e,305302,High,High,Low,Low,Yellow,6,1
K2-2669k,286307,High,Medium,High,Medium,Red,0,0
LHS 325g,301470,Low,High,Low,Low,Red,5,1
Ross 1072i,319276,Low,Low,Low,Medium,Yellow,6,1
KELT-5565h,301183,High,Low,Medium,High,Yellow,5,1
KELT-150n,289598,Low,High,High,High,Blue,2,0
KELT-38t,300050,Medium,High,High,High,Red,3,0
Kepler-6549f,320234,Low,Low,Low,Low,Yellow,0,1
WASP-7540h,319455,Low,Medium,Low,Low,Yellow,7,1
Gliese 1508v,337761,Low,Medium,Low,Low,Yellow,5,1
Kepler-9494m,334692,Low,Low,Low,Low,Yellow,8,1
HR 9218p,312074,Medium,High,High,Medium,Red,4,0
Gliese 5845v,298181,High,High,Low,High,Blue,6,0
LHS 8232y,319748,Low,High,Low,Low,Yellow,4,1
Kepler-8021o,306081,High,Medium,High,High,Red,1,0
K2-9435f,307457,Medium,High,High,High,Blue,1,0
TRAPPIST-6016x,316216,Medium,High,High,High,Red,0,0
HR 7588n,334998,Medium,Low,Medium,Low,Yellow,0,1
LHS 3947p,338331,Medium,Low,High,Low,Yellow,8,1
TRAPPIST-7524e,272448,High,High,High,Medium,Red,4,0
HR 7668e,289885,High,High,High,High,Red,2,0
HR 1662w,305229,Low,Medium,Medium,High,Blue,4,1
Ross 5390o,316735,High,High,High,High,Yellow,1,0
HD 9048z,298500,High,High,High,High,Red,1,0
K2-8922p,310437,Medium,Medium,High,High,Red,6,1
TRAPPIST-7010z,326119,Low,Low,Low,Medium,Yellow,4,1
Gliese 6942v,296999,High,High,High,High,Red,1,0
Kepler-5057s,317996,High,Low,High,High,,5,0
HR 7840h,318871,Low,High,Low,Medium,Yellow,4,1
HR 9760x,315043,Medium,Low,Low,Low,Yellow,4,1
HD 3456e,308986,Low,Low,High,Low,Blue,3,1
KELT-4942x,328160,Low,Low,Medium,High,Yellow,4,1
HR 858e,318321,Low,Medium,Low,Low,Yellow,4,1
WASP-2778t,296325,Low,Low,Low,Low,Yellow,7,1
KELT-6814s,281974,High,High,Medium,High,Red,1,0
Kepler-9406s,305775,Low,Low,Medium,Low,Yellow,4,1
Kepler-2256y,311852,High,Low,High,High,Red,0,0
Kepler-7110p,271420,High,High,High,Low,Red,4,0
Kepler-4796q,280672,Medium,High,High,High,Red,5,0
Ross 8530k,337780,Medium,Low,Low,Low,,6,1
KELT-3004c,318632,Low,Low,High,High,Red,3,0
KELT-9229k,331235,High,Low,High,Low,Yellow,8,1
HR 863x,314985,Low,Low,Low,Low,Yellow,5,1
TRAPPIST-456t,335487,Medium,Medium,Low,Low,Yellow,4,1
HR 6471n,313796,High,High,High,Medium,Yellow,4,0
Kepler-9154u,304697,High,High,High,High,Red,6,0
Ross 887j,312340,High,High,High,High,Yellow,6,0
TRAPPIST-6523o,294665,High,High,Medium,High,Blue,5,0
HD 5182k,321278,Low,High,Low,Medium,Yellow,6,1
WASP-8073u,317642,High,Low,Low,Low,Yellow,4,1
WASP-4230p,311584,High,High,High,High,Red,2,0
Ross 1037g,305591,Medium,Low,High,Low,Yellow,6,1
KELT-8993p,317234,Low,Medium,Low,Low,Yellow,6,1
LHS 6872h,300509,Low,Low,High,High,Red,2,0
Kepler-6874y,328732,High,High,High,Medium,Red,1,0
HR 9095f,278499,High,Low,High,Low,Blue,4,0
KELT-4035v,315816,High,Medium,High,Low,Yellow,0,1
HR 4170j,318255,Medium,Medium,Low,High,Yellow,5,1
K2-3365k,317261,High,Low,Medium,Low,Yellow,0,1
Kepler-1640k,315796,Low,Low,Medium,Low,Yellow,6,1
WASP-5512z,325866,High,Low,Medium,Low,Yellow,6,1
LHS 9907f,300525,High,High,High,High,Red,6,0
TRAPPIST-7566t,320646,Low,High,Low,Low,Yellow,7,1
KELT-9095f,329135,Low,Low,High,Low,Yellow,4,1
TRAPPIST-7251d,316055,Medium,High,High,High,Red,8,0
HR 6753h,289431,High,High,Low,High,Red,6,0
WASP-5329f,310365,Low,Low,High,Low,Yellow,5,1
K2-5373a,339807,Low,Low,High,Low,,2,1
TRAPPIST-2052n,329952,High,High,High,Low,Yellow,4,0
WASP-9906y,330491,Low,Low,Low,High,Yellow,6,1
KELT-8972n,304740,High,Low,High,High,Red,4,0
TRAPPIST-3939t,294368,High,High,High,Medium,Red,2,0
Ross 8128f,298381,High,Low,Low,High,Red,4,0
HR 4055e,338371,Low,Low,Low,Low,Yellow,4,1
WASP-7724f,338203,Low,Low,Medium,High,Yellow,7,1
Gliese 710d,293932,High,High,Medium,Low,Yellow,5,0
KELT-4204i,334439,Medium,Low,Low,Low,Yellow,6,1
HR 2191d,316691,High,Medium,High,Low,Yellow,6,1
KELT-6147i,321748,Low,Low,High,Low,Yellow,8,1
LHS 9987l,319190,High,High,Medium,High,Blue,0,0
Gliese 5732a,301600,Low,Low,Low,Low,Yellow,4,1
HD 2312w,272705,Low,Medium,High,High,Red,2,0
KELT-2975i,313637,Low,Medium,Low,Low,Yellow,0,1
HD 1620q,303317,Low,Low,Medium,Low,Blue,5,1
KELT-85s,306092,Low,Low,Low,Low,Yellow,4,1
WASP-1120x,304921,Low,Low,Medium,High,Yellow,8,1
TRAPPIST-6991b,296987,High,High,High,High,Red,6,0
KELT-6906a,278336,Medium,High,High,Medium,Blue,1,0
HR 9607l,315089,Low,Low,Low,Medium,Yellow,2,1
WASP-8904x,311902,Low,Low,Low,Low,Yellow,4,1
Gliese 9956v,339691,Low,Medium,Low,Low,Yellow,6,1
TRAPPIST-5094x,324269,High,Low,High,Medium,Yellow,5,1
Ross 2335l,267302,High,High,Low,High,Yellow,5,0
Kepler-1523e,287468,High,High,Low,High,Red,1,0
HD 5132k,324860,High,High,High,High,Red,2,0
Kepler-7892e,300977,High,Low,High,Medium,Blue,5,0
HR 8155a,273550,Low,High,High,High,Blue,2,0
Ross 4642t,332639,Low,Low,Low,Low,Yellow,6,1
WASP-900q,273617,High,Low,High,High,Red,4,0
TRAPPIST-1621w,302762,Low,Low,Low,Medium,Yellow,7,1
TRAPPIST-4944d,286555,Low,Low,Medium,High,Red,2,1
WASP-615i,303503,High,High,High,Low,Red,0,0
Kepler-6463r,304485,High,Medium,Low,High,Blue,4,0
WASP-3692l,311283,Low,Low,Low,Low,Yellow,1,1
Gliese 5644z,308807,Low,Low,High,Medium,Blue,5,1
HR 5192r,290443,High,Medium,Low,Low,Yellow,4,1
HD 860i,300090,Low,Medium,Low,Medium,Yellow,8,1
TRAPPIST-2845g,319528,Low,Low,High,Medium,Yellow,7,1
TRAPPIST-6377a,300269,Low,Low,Low,Low,Red,6,1
LHS 6786e,274150,Medium,Medium,Low,High,Blue,1,0
Ross 6274q,313599,Medium,High,Medium,High,Red,5,0
K2-2648f,275926,High,Low,High,High,Red,4,0
WASP-6582h,304389,Low,Low,Low,Low,Yellow,4,1
Kepler-3933t,318533,Medium,High,Low,Low,Red,7,0
WASP-2880m,304975,Medium,Low,Low,Low,Yellow,8,1
Gliese 465v,309371,Low,Medium,High,Low,Yellow,5,1
K2-3437a,301982,Medium,Low,Low,High,Red,5,1
K2-5481j,296237,High,High,High,High,Blue,6,0
HD 1588n,333544,High,Low,Low,Low,Yellow,3,1
Kepler-5348f,327794,Medium,Medium,Low,Low,Yellow,5,1
LHS 6832h,319345,Low,Low,Low,Low,Yellow,5,1
HD 9058j,265320,High,High,High,High,Red,6,0
Ross 2027g,307555,High,Medium,High,Medium,Red,1,0
K2-4298l,309391,High,High,High,High,,7,0
HD 4955d,323907,Low,Low,High,Low,Yellow,5,1
TRAPPIST-7966m,314412,Medium,Low,Low,Low,Yellow,1,1
HR 478b,334200,Low,Low,Medium,Medium,Yellow,6,1
Ross 454x,301357,High,Medium,High,High,Blue,8,0
Ross 2306o,317311,High,High,High,Medium,Blue,6,0
HR 7349e,315648,Low,Low,Low,Medium,Yellow,5,1
WASP-20u,315604,Medium,Low,High,High,Red,6,0
K2-4384y,265362,Low,High,High,High,Red,2,0
Ross 9315g,269018,High,High,Medium,High,Red,8,0
HR 9238y,339745,Low,Low,Low,Low,Red,2,1
WASP-2199s,335974,High,Medium,High,Low,Red,5,1
LHS 4206n,333302,Low,Low,Low,Low,Blue,3,1
Ross 8670f,322878,Low,Medium,Low,Low,Yellow,6,1
HR 3480a,289862,Medium,High,Medium,Medium,Red,5,0
HR 8817v,328808,Low,Low,Low,Medium,Yellow,7,1
KELT-8046z,329192,High,Low,Low,Low,Yellow,3,1
Ross 3324h,339285,Low,Low,High,Low,Blue,5,1
HR 8646f,316763,Low,Low,Low,Medium,Yellow,4,1
K2-5386d,309533,High,High,Low,Low,Red,4,0
Gliese 9045m,306145,Low,Medium,Low,Low,Yellow,4,1
WASP-5754e,320460,Low,Low,Low,Low,Yellow,4,1
K2-4197n,305095,High,Low,High,High,Blue,4,0
LHS 8506q,273410,High,High,High,High,Yellow,1,0
HR 3345x,307353,Low,Low,Low,High,Yellow,7,1
WASP-7624x,266232,Medium,High,High,High,Red,5,0
Kepler-5487f,320640,Low,High,Medium,High,Red,3,0
Gliese 7289f,290972,Low,Low,High,Low,,7,1
TRAPPIST-9897b,336047,Low,Low,Low,Medium,Yellow,1,1
HD 1354k,275838,High,High,Medium,High,Blue,7,0
HR 3330p,332259,Low,Medium,Low,Low,Yellow,6,1
HD 675g,268685,Low,High,High,High,Yellow,1,0
HR 7106p,313924,Low,Low,Low,Low,Yellow,5,1
LHS 9233l,313383,High,Low,High,High,Red,5,0
HR 9203k,332538,Low,Low,High,Low,Yellow,7,1
WASP-8097t,338922,Low,Medium,Medium,Low,Yellow,4,1
WASP-388p,270953,Low,High,High,High,Red,8,0
TRAPPIST-9925p,315442,High,Low,Low,Low,Yellow,0,1
HR 9479h,310754,Low,Low,High,Low,Yellow,1,1
KELT-3976i,309461,Low,Low,Low,Low,Yellow,3,1
Kepler-4532f,314254,Low,Low,Low,High,Yellow,6,1
LHS 5952u,317463,Medium,High,Low,Low,Yellow,7,1
Gliese 5917k,301998,Low,High,High,Low,,5,1
LHS 9591y,336804,Medium,High,High,Medium,Yellow,4,1
Ross 3812y,325111,Low,Low,Low,Medium,Yellow,4,1
TRAPPIST-9297g,290348,High,High,High,High,Red,0,0
K2-4673q,309104,High,High,High,High,Red,6,0
Gliese 7492e,304271,Low,Low,Low,Low,Yellow,8,1
KELT-7005d,269453,High,High,Low,High,Yellow,8,0
TRAPPIST-9489x,322256,Low,High,Medium,Low,Yellow,8,1
HD 9567r,306513,High,Low,Medium,Medium,Red,4,0
Gliese 1074f,266276,Medium,High,Low,High,Red,1,0
HR 4524l,303835,Low,Low,High,Low,Yellow,6,1
Gliese 5291z,308681,Medium,Low,Low,Low,Yellow,6,1
TRAPPIST-2227n,329839,High,Low,Low,Low,Yellow,6,1
WASP-5656b,320784,High,Medium,Low,High,Blue,7,1
TRAPPIST-911m,295993,High,Medium,High,High,Yellow,7,0
TRAPPIST-7351k,331619,High,Medium,Low,Low,Yellow,5,1
Kepler-4582z,330375,Medium,Medium,Low,Medium,Yellow,7,1
KELT-5863n,315495,Low,Medium,High,Low,Yellow,8,1
HR 7267r,330721,Low,High,Low,Medium,Red,5,1
LHS 2309w,338274,Low,Low,Low,Low,Yellow,1,1
TRAPPIST-3669z,303124,High,Medium,High,High,Red,3,0
KELT-6566e,273767,High,Low,Low,High,,5,0
Kepler-9663k,318925,High,Low,Low,Low,Red,8,1
WASP-7986v,330187,Low,Low,Low,Low,Yellow,3,1
HR 1292t,299444,Medium,High,Low,Medium,Blue,1,0
WASP-1455z,288190,High,High,High,High,Red,6,0
K2-9833g,310037,High,Medium,High,Low,Blue,5,0
TRAPPIST-2451y,314422,Low,High,Low,Low,Yellow,7,1
Ross 4435b,320570,High,Low,High,Low,Yellow,8,1
K2-607k,305830,Low,Low,Medium,Low,Yellow,5,1
K2-6917i,336173,Low,Low,Medium,High,Red,0,0
HR 7289e,320841,Low,High,Medium,Low,Yellow,6,1
HR 3954d,321726,Medium,Low,Low,Low,Yellow,4,1
K2-1633a,317898,Low,Low,Low,Low,Yellow,4,1
HD 9199t,317568,Low,High,Low,Low,Yellow,5,1
Kepler-5352i,319031,Low,Low,Medium,Low,Yellow,5,1
WASP-9355c,304516,Low,Medium,High,High,Red,2,0
HR 8143n,317189,Medium,Low,Low,Low,Yellow,6,1
K2-9207n,315467,High,High,High,Low,Red,4,0
K2-7929d,336834,Medium,High,Low,Low,Red,4,1
Kepler-1304u,310198,Low,High,Low,High,Yellow,7,1
WASP-3523r,303041,Low,Low,Low,Low,Yellow,4,1
K2-1563b,272988,Low,High,High,High,Red,8,0
Kepler-763l,332016,High,Low,High,High,Yellow,2,0
K2-3612i,266987,High,High,Low,High,Red,0,0
TRAPPIST-4924o,269203,High,High,High,High,Blue,3,0
WASP-9436r,335948,Low,Low,Low,High,Red,7,1
KELT-6712f,277761,High,High,High,Low,Blue,0,0
HR 2893g,318696,High,Low,High,High,Yellow,5,0
K2-4961h,312837,High,High,High,High,Red,8,0
KELT-3523v,289157,High,High,High,High,Red,1,0
WASP-9015a,330013,Low,Medium,Low,High,Yellow,3,1
HD 78j,329192,Medium,Medium,Low,High,Yellow,5,1
Kepler-3588w,319431,Low,Low,Low,High,Red,5,0
KELT-5869n,334533,Low,Low,Low,High,Yellow,5,1
LHS 2204j,333502,Low,Low,Low,Low,Yellow,0,1
TRAPPIST-3035l,268343,High,High,Medium,High,Blue,4,0
WASP-7504c,274314,Low,Low,Medium,High,Yellow,1,0
WASP-6929q,286249,High,High,Medium,High,Blue,5,0
K2-4044x,317198,Low,High,Low,Low,Yellow,6,1
Kepler-297a,301389,High,Medium,High,High,Yellow,1,0
Gliese 701s,274825,Medium,High,High,High,Red,6,0
Gliese 9570h,292145,High,High,High,Medium,Red,4,0
TRAPPIST-4309u,291123,Medium,High,High,Medium,Red,7,0
WASP-3376u,268298,Low,Low,Low,High,Yellow,6,1
KELT-6085a,277576,Low,Medium,Medium,High,Yellow,0,0
KELT-998q,313113,Low,High,High,High,Blue,6,0
Gliese 1188o,289752,High,High,High,High,Blue,4,0
K2-3968x,321607,Low,Low,Low,Low,Yellow,4,1
Gliese 3794q,302485,Medium,Low,High,Low,Red,3,0
HR 9972a,315341,Low,Low,Low,Low,Yellow,7,1
Ross 7620h,302552,Low,Medium,Low,High,Yellow,6,1
HD 5584x,309595,High,Low,High,High,Red,2,0
HD 7688i,309742,Low,Low,Medium,High,Yellow,6,1
Kepler-2455b,301765,High,High,High,Low,Yellow,8,1
KELT-8261g,280592,High,Medium,High,High,Red,1,0
HR 3443p,318015,Low,Medium,High,Low,Yellow,5,1
WASP-8344q,298610,Medium,Low,Low,Low,Yellow,7,1
WASP-6397f,331703,Low,High,Low,Low,Yellow,8,1
WASP-2222f,337471,Low,Medium,Low,Low,Yellow,7,1
Ross 9450v,318261,Low,Low,Medium,Low,Yellow,7,1
Kepler-4274x,309108,High,High,Low,Low,Red,8,1
HD 4571d,309246,Low,Low,Low,Low,Red,6,1
WASP-4450j,325768,Low,Low,Low,Low,Yellow,8,1
K2-6429t,301536,Medium,Low,Medium,Low,Yellow,8,1
Gliese 3464n,276107,Low,High,Low,Low,Yellow,7,1
Ross 9927q,280107,Low,Low,High,High,Yellow,5,1
HD 8774a,298625,Medium,High,High,Medium,Red,6,0
K2-3944x,280605,High,Low,High,Medium,Red,4,0
Gliese 2024h,298117,High,High,High,Medium,Blue,2,0
K2-8083v,300014,High,Low,High,High,Red,6,0
LHS 9454z,325810,Low,High,High,High,Red,5,1
Gliese 7629u,273455,High,Medium,High,High,Red,6,0
TRAPPIST-3083w,307273,Low,Low,Low,Low,Yellow,8,1
Ross 5922t,335976,High,Medium,High,High,Red,4,0
KELT-4022j,309236,Medium,Low,Low,Low,Yellow,4,1
HD 6454m,338441,Medium,Low,Medium,Low,Yellow,8,1
WASP-9873p,270141,Low,High,Low,High,Blue,4,0
HD 7287w,320651,Low,Low,Low,Medium,Yellow,1,1
KELT-4410h,280574,Low,High,Low,Low,Yellow,5,1
Gliese 541l,331299,Low,Low,Low,Low,Yellow,6,1
Gliese 3059d,313976,Medium,Low,Medium,Low,Yellow,0,1
Ross 8318b,333573,High,Low,Low,Low,Yellow,4,1
LHS 9179k,301493,Medium,Low,High,Low,,7,1
LHS 6953a,298268,Low,High,Low,Low,Red,5,1
Ross 7441v,305072,Low,Medium,Medium,Low,Yellow,8,1
K2-1760v,309701,Low,Low,Low,Low,Yellow,4,1
LHS 5012j,298169,Low,Low,High,High,Blue,6,0
Ross 5522s,333483,Low,High,Low,Low,Red,7,1
HD 9469p,303913,High,High,High,Low,Red,3,0
HD 2712e,287801,High,High,High,High,,4,0
Kepler-8229t,301068,High,High,High,High,Yellow,8,0
HR 6267r,310527,Low,High,High,High,Red,5,0
Kepler-2840y,302656,High,High,High,Medium,Red,1,0
K2-7517m,316590,High,High,High,Low,Blue,4,0
K2-3636a,281420,Low,High,Low,Medium,Red,3,1
KELT-9187m,332634,Low,Low,Low,High,Red,7,1
LHS 767u,328058,Low,High,High,High,Yellow,6,1
TRAPPIST-3667s,336252,Low,Low,Low,Low,Blue,8,1
HD 1194y,319310,Low,High,Medium,Low,Yellow,0,1
HD 7667d,274135,Medium,Low,High,High,Yellow,6,0
HR 8594l,329465,Low,Low,Low,Low,Red,7,1
K2-8892a,318824,Low,Low,Low,Low,Yellow,4,1
Gliese 3969j,277450,Medium,High,Low,High,Red,6,0
HD 4062w,307478,Low,Medium,Low,Low,Red,8,1
Kepler-6559r,303877,Medium,High,Medium,Low,Yellow,6,1
K2-2521q,315160,Low,Low,High,High,Red,3,0
