Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length,Grizzly
303,9.8,12.2,Cinnamon,Rounded,12,Yes
410,5.1,13.2,Dark Brown,Pointed,9.9,No
331,4.1,13.6,White,Rounded,10.7,Yes
300,1.2,10.9,Blond,Pointed,9.2,No
297,8.6,7.6,Blond,Broad,5.3,No
317,2.9,16.7,Blond,Rounded,10.3,No
451,4.3,9.4,Black,Pointed,8,Yes
227,3.6,10.5,Blond,Pointed,9,No
348,6.9,14.9,Light Brown,Pointed,6.6,No
324,6.2,11.6,Cinnamon,Rounded,8.8,Yes
316,4.7,8.4,Light Brown,Pointed,8.1,No
307,2.8,13,Light Brown,Pointed,7,No
307,9.3,13.6,White,Pointed,9,Yes
463,9.5,8.1,Light Brown,Rounded,8.3,Yes
355,3.3,11.3,Blond,Broad,9.5,No
459,9.6,14.8,Black,Pointed,11,Yes
391,3.8,10.2,Light Brown,Broad,6.3,No
468,2,12.8,Blond,Pointed,7,No
499,3.3,16.6,White,Broad,8.2,Yes
262,9.4,8.6,Black,Broad,8.2,Yes
374,4.4,15.3,White,Rounded,11.6,Yes
448,10,11.5,Cinnamon,Broad,7.4,Yes
412,1.6,7,Blond,Broad,6.8,No
263,4.3,7.9,Light Brown,Pointed,8.9,No
331,2.5,11.2,Light Brown,Rounded,5.2,No
237,5.2,14.6,Dark Brown,Pointed,9.1,No
216,3.1,7.7,Dark Brown,Broad,6.4,No
338,3.8,10.2,Dark Brown,Pointed,6.3,No
332,4.2,16.9,White,Broad,10.8,Yes
348,4.6,12.6,Light Brown,Rounded,9.7,No
321,4.1,8.6,Dark Brown,Rounded,8.1,No
235,4.1,9,Blond,Rounded,5.5,No
416,5.7,14.4,Black,Rounded,10.4,Yes
260,3.3,10.3,Blond,Broad,8.9,No
353,4,17.7,White,Rounded,11.9,Yes
399,5.7,12.6,Black,Broad,11.6,Yes
462,5.3,14.8,Cinnamon,Broad,8.6,Yes
291,4.8,9.8,Dark Brown,Pointed,9.7,No
253,8.1,7.7,White,Broad,8.4,Yes
226,2,13.3,Blond,Broad,9.2,No
278,1,9.2,Dark Brown,Rounded,8.8,No
440,5.9,12.1,Black,Rounded,8.6,Yes
238,3.9,12.3,Blond,Pointed,6.8,No
323,4.6,10.3,Light Brown,Broad,5.2,No
230,9.8,11.5,Cinnamon,Broad,6.6,No
288,6.3,17.8,Light Brown,Pointed,6.2,No
379,9.3,15.7,Cinnamon,Broad,5,Yes
457,8.1,11.6,Black,Broad,9.7,Yes
305,6.6,17,Cinnamon,Rounded,8.7,Yes
342,4.6,17.9,Cinnamon,Broad,10.9,Yes
365,5,13.3,Cinnamon,Broad,8.8,Yes
428,6.8,9.1,White,Rounded,10.4,Yes
439,9.3,14.9,Cinnamon,Broad,10.1,Yes
344,2.6,10.4,Blond,Broad,6.8,No
346,1.2,8.9,Blond,Broad,6.4,No
397,2.4,11.4,Dark Brown,Pointed,7.2,No
231,9.4,10.2,Cinnamon,Broad,10,No
390,5.9,13.7,Black,Broad,11.4,Yes
434,1.1,17.1,Black,Rounded,11.9,Yes
460,2.1,17.2,White,Broad,11.5,Yes
346,6.7,16.3,Black,Pointed,9.2,Yes
335,5.9,7.1,Dark Brown,Broad,8,No
312,5.5,11.8,Blond,Broad,9.7,No
457,3.7,11.7,Dark Brown,Pointed,8,No
409,4.8,7.7,Dark Brown,Rounded,8.4,No
446,8.5,15,Black,Broad,10.9,Yes
261,1.4,10.1,Light Brown,Pointed,8.6,No
252,5.4,7.7,Light Brown,Rounded,6.7,No
385,8.3,13.1,White,Broad,9.6,Yes
209,7.3,11.3,Light Brown,Broad,9.5,No
388,8.3,8,Cinnamon,Rounded,8.3,Yes
310,3.8,9.5,Cinnamon,Pointed,6.3,No
246,3.6,8.5,Light Brown,Rounded,5.4,No
306,4.4,8,Light Brown,Broad,11.4,No
396,9.3,14.7,Black,Broad,10.1,Yes
313,5.3,10.1,Light Brown,Pointed,11.5,No
319,2.7,7.2,Blond,Broad,8.2,No
411,4.9,11.6,Cinnamon,Broad,10.6,Yes
447,9.9,14.3,Cinnamon,Broad,8,Yes
490,6.6,17.6,White,Broad,11.9,Yes
413,7.6,12.2,Black,Broad,11.4,Yes
320,4.4,11,Blond,Pointed,9.3,No
419,6.6,17.2,Black,Broad,11.9,Yes
270,2.8,8.6,Dark Brown,Pointed,9.8,No
275,4.3,10.3,Black,Pointed,10,No
285,2.5,10.7,Light Brown,Broad,5.1,No
495,5.2,9,White,Broad,9.3,Yes
315,5.4,11.6,Light Brown,Broad,9,Yes
369,7,13,Cinnamon,Broad,8.2,Yes
296,2.5,11.6,Cinnamon,Pointed,5.3,No
459,7.1,16,Cinnamon,Rounded,8.7,Yes
491,4.1,16.5,Blond,Rounded,9.3,Yes
380,4.7,7.9,Light Brown,Broad,9.2,No
310,9,13.4,Cinnamon,Rounded,10,Yes
266,4.3,7.9,White,Pointed,10,No
220,2.5,12.8,Light Brown,Pointed,8.1,No
344,3.5,7.8,Dark Brown,Broad,6.8,No
248,1.1,11.2,Dark Brown,Broad,5.3,No
294,2.2,8.8,Light Brown,Rounded,8.1,No
417,3.6,7,Light Brown,Pointed,8.2,No
344,2.1,11.1,Dark Brown,Broad,8.5,No
289,2,7.8,Dark Brown,Pointed,9.3,No
369,7.8,11.6,Cinnamon,Broad,8.7,Yes
321,7.2,8.1,Blond,Pointed,5.6,No
345,7.6,16.4,Cinnamon,Broad,11.6,Yes
360,9.6,9.3,Black,Pointed,5.3,Yes
333,4.8,12.3,Light Brown,Pointed,10.7,No
217,3,8.5,Light Brown,Rounded,5.8,No
466,7,16.5,Black,Broad,8.1,Yes
487,4,11.5,Black,Rounded,10.1,Yes
272,1.3,8.3,Light Brown,Broad,5.9,No
475,5,12.3,Dark Brown,Pointed,5.3,No
463,3.8,11.4,Black,Broad,8.9,Yes
369,4.1,11.8,White,Broad,11.8,Yes
344,8.9,16,Cinnamon,Broad,9.4,Yes
433,8.5,7,Black,Broad,8.7,Yes
356,4.9,13.3,Cinnamon,Pointed,10.5,Yes
295,2.5,13,Light Brown,Rounded,9.5,No
312,1.2,11.4,White,Rounded,6.3,Yes
424,1.3,11.7,Dark Brown,Pointed,6,No
343,2.2,15.4,Light Brown,Pointed,9.8,No
277,3.2,11.5,Light Brown,Pointed,7.2,No
309,8.1,17.3,Black,Broad,9.7,Yes
334,1.6,7.7,Black,Broad,7.3,No
291,4.7,9.1,Blond,Pointed,11.4,No
320,1.1,12.1,Blond,Pointed,5.5,No
341,2.7,12.1,Light Brown,Pointed,6.8,No
487,9.9,15,Cinnamon,Broad,11.6,Yes
359,5.1,16.4,Black,Rounded,9.5,Yes
205,2.3,10.2,Blond,Broad,8.5,No
350,1.4,12,Dark Brown,Pointed,8.5,No
447,3.4,13.9,Black,Broad,8.3,Yes
298,1.8,12.8,Dark Brown,Broad,8.1,No
276,1.9,13,White,Pointed,5,No
276,3.8,11.5,Dark Brown,Broad,5.2,No
290,8.9,11.9,Light Brown,Pointed,10.5,No
218,4,8,Dark Brown,Pointed,8.2,No
217,7.8,12.8,White,Rounded,10.8,Yes
274,2.6,12.3,Blond,Broad,7.6,No
318,4.3,9,Light Brown,Broad,11,No
264,2.9,9.8,Dark Brown,Broad,9.5,No
475,5.8,15.2,White,Rounded,11,Yes
341,4.6,15,Cinnamon,Pointed,10.7,Yes
316,1.7,8.2,Light Brown,Pointed,7.9,No
320,2.9,11.5,Black,Broad,11.2,Yes
310,2.5,10.1,Dark Brown,Pointed,6.8,No
400,7.5,10.3,Black,Rounded,11.1,Yes
304,6.4,11.1,White,Rounded,11.7,Yes
348,2.2,12.8,Dark Brown,Broad,6.1,No
441,5,16,Cinnamon,Broad,9.4,Yes
457,7.6,16.2,Cinnamon,Broad,9.5,Yes
450,3.6,9.9,Blond,Pointed,9.4,No
488,6.6,10.8,White,Broad,9.3,Yes
430,5.6,8.4,Light Brown,Pointed,8.7,No
254,4.3,9.9,Light Brown,Pointed,5.5,No
219,5.1,13,White,Broad,10,No
492,8.1,14,Cinnamon,Pointed,8.1,Yes
223,4.8,7.7,Light Brown,Pointed,9.5,No
387,9.7,17.2,Dark Brown,Broad,8.4,Yes
342,4.9,8,Blond,Broad,5.8,No
396,5.3,14.3,Cinnamon,Rounded,8.4,Yes
355,2.4,8.7,Light Brown,Broad,10.2,No
295,3.6,10.4,Dark Brown,Broad,9.7,No
437,4.8,12.8,Light Brown,Rounded,8.5,Yes
295,3.1,16.2,Light Brown,Pointed,5,No
442,9.8,12,White,Rounded,9.9,Yes
477,6.8,12.6,Black,Rounded,9.6,Yes
282,1.4,7.4,Black,Broad,5.7,No
450,10,11,White,Broad,10.4,Yes
375,9.8,9.3,White,Rounded,8.8,Yes
288,3.9,10.7,Dark Brown,Broad,7.6,No
321,1.5,8.7,Dark Brown,Broad,6.5,No
459,8.4,14.1,White,Rounded,8.7,Yes
252,1,8.6,Dark Brown,Pointed,7,No
240,4.2,7.5,Light Brown,Broad,6.1,No
259,4.6,9,Blond,Broad,10.6,No
350,5.4,10.3,Dark Brown,Pointed,9.4,No
377,3.5,15.7,Cinnamon,Broad,8.8,Yes
470,5.2,15.3,Black,Broad,7.6,Yes
231,1.6,9.2,Blond,Broad,7.7,No
339,8.9,17.1,Black,Broad,9.8,Yes
347,2.2,14,White,Rounded,11.6,Yes
306,3.6,7.2,Light Brown,Pointed,7.8,No
277,4.7,17.2,Cinnamon,Broad,10.2,Yes
235,3.7,10.6,Dark Brown,Pointed,8.8,No
338,3.4,16.8,Dark Brown,Broad,9.9,No
374,2.5,15,Black,Rounded,5.6,Yes
317,1.3,10.7,Blond,Pointed,8.6,No
371,1,11.4,Cinnamon,Broad,8.9,Yes
421,3.4,12.3,Light Brown,Broad,9.3,Yes
284,3.8,9.9,Light Brown,Broad,7.1,No
464,8.1,13.9,White,Rounded,10.9,Yes
265,4,7.8,Light Brown,Pointed,8.2,No
360,9.4,11.8,White,Rounded,8.3,Yes
332,2.3,7.5,Black,Rounded,8,Yes
339,5.8,12.6,Black,Broad,9.3,Yes
231,3.4,7.6,Blond,Pointed,9.8,No
365,5.2,11.7,Cinnamon,Broad,8.9,Yes
335,2.4,11.4,Blond,Broad,8.8,No
210,3.4,11.2,Dark Brown,Rounded,11.5,Yes
250,1.4,7.8,Light Brown,Broad,8.8,No
330,1.9,10,Dark Brown,Broad,9.9,No
372,8.1,8.5,Black,Rounded,9.6,Yes
267,5.9,9.2,White,Rounded,6.5,Yes
253,5.1,12.4,Blond,Broad,9.3,No
427,6.7,14,Light Brown,Broad,9.2,Yes
231,1.5,13.7,Dark Brown,Rounded,8.7,No
384,8.5,14,White,Pointed,10.2,Yes
325,1,10.5,Blond,Rounded,6.1,No
429,6.3,11.9,Black,Rounded,6.9,Yes
201,1.4,8.5,Blond,Pointed,7.7,No
271,4.4,11.1,Black,Rounded,8.1,Yes
419,4.8,16.4,Black,Broad,8.9,Yes
411,5.2,13.2,Cinnamon,Broad,12,Yes
214,6.2,16,Cinnamon,Broad,8.8,Yes
320,8.8,8.1,Blond,Rounded,8.9,Yes
348,7.2,12.2,Cinnamon,Broad,10.5,Yes
374,7.2,17.2,Black,Broad,9.1,Yes
318,2.9,14.9,Cinnamon,Rounded,10.1,Yes
271,6.9,17.4,White,Broad,9.3,Yes
388,1.9,8,Light Brown,Broad,5.2,No
310,1,10.2,Dark Brown,Broad,7.4,No
296,2.2,10.6,Dark Brown,Pointed,11.6,No
451,5.2,13.3,Cinnamon,Broad,11.5,Yes
263,5.5,17,Blond,Pointed,9.8,No
337,2.2,11.2,Blond,Rounded,6.2,No
245,4,8.2,Light Brown,Pointed,6.6,No
476,4.4,15.2,White,Pointed,10.1,Yes
313,6.9,9,Dark Brown,Broad,9.3,No
295,6.1,16.2,Light Brown,Broad,11.5,No
410,8.2,17.1,Black,Broad,9.6,Yes
428,4.8,14.4,Black,Pointed,5.4,Yes
498,1.7,11.3,White,Rounded,10.3,Yes
360,2.4,16.8,Black,Rounded,5.4,Yes
423,8.6,11.6,Black,Broad,8.7,Yes
378,9.5,12.2,Cinnamon,Rounded,8.2,Yes
298,3.2,10.5,Dark Brown,Pointed,5.1,No
219,8.8,10.9,Dark Brown,Rounded,5.4,No
316,5.3,10.1,Light Brown,Broad,11.7,No
401,1.9,17,White,Broad,8.6,Yes
259,6.8,14.8,Black,Pointed,8.6,Yes
460,4.4,12.9,Black,Rounded,11.9,Yes
379,4.8,17.9,Black,Broad,8.2,Yes
209,2.2,13.9,Blond,Broad,7.8,No
293,4.3,16.5,Black,Pointed,11.4,Yes
473,2.1,7.7,Blond,Pointed,10,No
347,2.4,11.6,Blond,Rounded,6.2,No
454,4.6,11.1,Light Brown,Pointed,7.7,No
484,9.2,12.7,White,Rounded,8.8,Yes
435,3.9,15.8,Black,Broad,10.7,Yes
371,3.7,12.1,Black,Rounded,5.6,Yes
321,4.5,12.9,Blond,Pointed,8.1,No
204,4,12.7,Blond,Broad,9.2,No
329,5.2,16,Black,Broad,10.9,Yes
317,9.4,11.4,White,Rounded,8.3,Yes
430,6,12.3,Cinnamon,Rounded,7.2,Yes
376,7,17.2,Cinnamon,Rounded,8.7,Yes
263,4.9,7.3,Cinnamon,Pointed,9.7,No
318,8.1,10,Dark Brown,Rounded,9.2,Yes
276,3,8.9,Dark Brown,Rounded,8.8,No
417,2.6,10.8,Blond,Pointed,5.1,No
323,7.8,13,Black,Broad,9.1,Yes
332,1.6,17,Dark Brown,Broad,6.9,No
306,4.1,16.9,Cinnamon,Pointed,8.6,Yes
486,6.9,7.1,White,Rounded,9.4,Yes
339,7,7.8,Black,Pointed,8,No
243,1.3,11.8,Black,Rounded,10.6,Yes
325,1.6,13.3,Cinnamon,Rounded,10.8,Yes
302,4.1,11.2,Dark Brown,Broad,8,No
336,5.5,8.5,Dark Brown,Broad,10,No
280,3.9,9.1,Cinnamon,Pointed,7,No
271,4.5,8.3,Light Brown,Broad,10.2,No
367,9.5,11.8,White,Broad,7.4,Yes
331,5.4,10.4,Blond,Broad,6.4,No
221,4.9,12.3,Blond,Pointed,8.7,No
303,4.6,12.5,Light Brown,Broad,7.6,No
494,3.4,18,Black,Rounded,10.8,Yes
260,5.1,12.2,Light Brown,Broad,8.1,No
274,1.9,9.2,Light Brown,Broad,6.5,No
318,1.5,10.9,Dark Brown,Pointed,9.8,No
231,2.8,7.4,Light Brown,Broad,7.1,No
204,5.9,10.4,White,Broad,9.4,Yes
328,3.4,9.4,Dark Brown,Broad,5.5,No
368,5,15.3,Black,Broad,8.9,Yes
349,4.7,11.3,Blond,Pointed,11.2,No
287,3.3,12.3,Blond,Pointed,7.1,No
267,6,16.9,Cinnamon,Rounded,11.5,Yes
339,4.2,15.8,White,Broad,8,Yes
