Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length
330,4.3,15.3,Blond,Rounded,5.4
338,2.4,14.7,Black,Broad,8.4
446,2.2,8,White,Broad,9.8
347,7.6,16,Dark Brown,Broad,7.3
331,2,13.6,Black,Broad,8.1
267,4.3,9.2,Light Brown,Broad,9
321,9.8,13,Light Brown,Rounded,5
290,1.4,15.3,Dark Brown,Broad,6.4
212,9.3,11.2,Light Brown,Rounded,9.6
443,1.3,16.8,White,Broad,9.2
350,5.3,9.2,Cinnamon,Pointed,10.8
316,4.8,11.5,White,Pointed,11.9
263,4.7,16.4,White,Broad,8.4
268,1.1,12.9,Light Brown,Broad,8
243,2,7.2,Cinnamon,Pointed,9.5
315,7.5,7.4,Black,Broad,11.7
432,8.1,11,Cinnamon,Broad,9.3
467,4.8,8.3,Cinnamon,Pointed,7.1
492,4.2,14,Blond,Broad,9.3
463,1.9,12.9,White,Broad,10.2
422,4.7,11.3,Black,Broad,8.3
314,2.5,17.1,Black,Broad,11.4
405,5.4,12.4,Blond,Rounded,9.9
360,2.1,8.4,Dark Brown,Rounded,8.6
377,9,11.3,,Broad,8.3
278,5.1,13.4,Dark Brown,Rounded,9.7
303,7,17.8,Black,Pointed,9
221,9,16.8,Blond,Broad,7.2
303,,15.7,Light Brown,Rounded,5.1
408,4.6,11.9,White,Pointed,5
500,5.6,8.3,Black,Broad,9.4
336,9.7,17.5,Cinnamon,Broad,9.3
288,8.3,11.2,Light Brown,Pointed,11.7
335,4.8,11.2,White,Broad,9.5
356,8.1,14,Dark Brown,Pointed,7.4
404,2,10.2,Black,Pointed,9.3
356,4.5,9.1,Black,Broad,9.4
265,,9.7,Dark Brown,Broad,6.5
420,3.6,13.9,Dark Brown,Rounded,7.7
418,9.3,7.6,Dark Brown,Rounded,5.7
239,4.7,12.5,Cinnamon,Broad,6.9
345,4.4,9.9,White,Pointed,9.3
257,4.3,11.3,White,Broad,11.5
386,7.3,12.2,Blond,Rounded,8.8
442,4.9,7.3,White,Broad,11.8
360,9.8,17.4,Blond,Rounded,5.2
445,3.3,9.1,Cinnamon,Rounded,9.8
330,5.4,14.2,Cinnamon,Rounded,8.7
379,4.9,14,Light Brown,Pointed,8.6
419,5.3,7.4,White,Broad,9.8
329,4.3,16,Dark Brown,Broad,10
384,7.7,12.8,Blond,Broad,7.2
290,2.6,11.7,Black,Rounded,10.4
250,2.7,8.1,Black,Broad,8.8
289,3.5,8.3,Cinnamon,Rounded,10.4
349,6,12.8,,Broad,9.9
358,1,10.7,Black,Broad,6.5
299,9,7.9,Light Brown,Pointed,7
306,4.7,11.4,Black,Rounded,9.6
236,3.2,12.1,Dark Brown,Pointed,6.5
479,1.5,8.2,Cinnamon,Pointed,8.1
389,3.3,11.3,White,Pointed,8
376,4.1,9,Cinnamon,Pointed,11.9
441,2.6,8.6,Cinnamon,Pointed,8.9
392,2.6,12.6,Blond,Broad,5.8
318,4.7,11.1,Black,Pointed,10.6
300,6.3,8.5,Light Brown,Rounded,8.5
344,4.9,11,Light Brown,Rounded,7.3
385,6.7,11.3,Light Brown,Broad,6
372,2.1,12.3,Light Brown,Rounded,6.8
323,5.4,9.6,Blond,Broad,9.7
279,9.2,14.2,Dark Brown,Rounded,7
380,4.5,8.2,Cinnamon,Pointed,10.6
257,,16.2,Blond,Broad,5.7
402,2.2,13,White,Broad,9.4
372,3.2,16.7,Black,Broad,9.9
406,4.2,12.5,Cinnamon,Broad,9
330,1.2,16,Dark Brown,Rounded,5.4
465,2.5,16.9,Cinnamon,Broad,9.7
314,6.6,10.4,Blond,Broad,10
346,7.2,11.3,Light Brown,Rounded,10
417,3.2,7.6,White,Rounded,9.9
337,4.1,11.2,Black,Pointed,10.1
348,5.5,18,Light Brown,Broad,6.2
263,8.7,11.5,Light Brown,Broad,8.8
364,4.3,10.3,Cinnamon,Broad,9.9
336,5.1,12,Dark Brown,Rounded,8.4
225,8.2,11.8,Light Brown,Rounded,9.8
255,8.4,12.8,Dark Brown,Pointed,9
362,3.1,12.8,Dark Brown,Broad,8.7
261,6.3,11.6,Blond,Rounded,8.4
248,7.2,12.2,Dark Brown,Pointed,5
283,4.9,12.3,Dark Brown,Pointed,5.8
439,3,16.5,Black,Pointed,5.8
366,9.2,14.9,,Broad,10
451,1.1,8.7,White,Rounded,8
380,7.7,14.7,Blond,Rounded,8.9
245,5.9,18,Dark Brown,Broad,9.5
314,10,12.2,Light Brown,Broad,8.2
322,5.2,14.9,Black,Broad,10.8
237,4.9,11.6,Light Brown,Rounded,9.6
237,4.1,7.6,Blond,Broad,12
481,4.4,8.2,Cinnamon,Rounded,9.5
351,1.5,11.6,Light Brown,Rounded,5.1
231,4.6,9.9,Blond,Rounded,7.4
378,9.7,11.1,White,Broad,10.6
487,2.3,10.7,White,Pointed,8.2
386,1.4,10.8,Dark Brown,Broad,9.6
305,6.6,11.7,Light Brown,Pointed,7.1
243,2.9,8.3,White,Broad,12
327,1.4,15,Black,Rounded,9.8
212,1.3,11.1,Blond,Broad,9.9
367,,15.7,,Broad,7.4
201,5,11.8,Black,Pointed,6.8
394,5.2,12.9,Black,Broad,9.3
305,4.6,7.1,Cinnamon,Pointed,8.4
208,8.5,9.1,Blond,Rounded,9.2
243,4.4,12.5,Black,Rounded,5
325,4.5,13,Cinnamon,Broad,9.6
370,3.3,11,Cinnamon,Rounded,6.1
480,3,12.3,Cinnamon,Pointed,10.5
245,,11.1,Light Brown,Rounded,9.2
388,8.8,12.5,Light Brown,Broad,10.5
410,4.7,11.4,Black,Rounded,9.6
422,5.9,12.5,Blond,Rounded,5.1
280,7.2,8,Cinnamon,Broad,7
438,3.5,8.8,Black,Pointed,8.4
487,7.9,11.8,Cinnamon,Rounded,8.4
413,5.4,10.8,Cinnamon,Pointed,10.5
452,1.3,11.5,White,Pointed,10.3
307,4.5,8.5,Dark Brown,Rounded,9.5
365,8.2,12.2,Light Brown,Broad,10.4
315,2.8,9.8,Black,Broad,11.2
391,5.3,17.7,Dark Brown,Rounded,6.9
370,9.8,12.9,Light Brown,Rounded,8
346,1.2,12.9,Cinnamon,Broad,10.9
264,9.9,11.4,Blond,Rounded,9.1
380,5.8,8,Light Brown,Broad,7.6
336,7,12.9,Blond,Rounded,9.9
441,3.7,11.6,White,Broad,10.2
384,4.4,11.2,Dark Brown,Rounded,8.4
279,4.9,12.5,Cinnamon,Pointed,10.6
318,7.6,16.1,Blond,Rounded,7.9
343,7.9,10.7,Blond,Rounded,10.7
348,4.9,15.1,Cinnamon,Pointed,10.5
375,6.9,11.3,Cinnamon,Broad,10.3
272,,8.6,Blond,Rounded,10.5
248,3.5,12.3,Cinnamon,Broad,10.5
325,3.6,7.7,Black,Pointed,6.6
383,5.2,14.9,Blond,Rounded,5.6
455,3.9,10,Dark Brown,Pointed,8.3
215,5.2,13.2,Dark Brown,Rounded,7.2
410,3.1,12,Black,Broad,11
248,4.4,15.2,White,Pointed,9.2
332,5.3,7.5,White,Pointed,8.2
319,2.4,12.1,White,Rounded,9.5
261,5.3,12.5,Blond,Broad,9.7
378,6.3,13.7,Blond,Rounded,12
309,6.1,16.1,Blond,Rounded,5.3
394,,7.2,Dark Brown,Rounded,5.9
379,1.5,9.5,White,Pointed,11.5
484,3.6,11.4,White,Pointed,10.7
200,6.2,13.6,,Rounded,7.5
360,7.1,12.5,Blond,Rounded,6.4
459,3.5,7.2,White,Pointed,8.8
372,5,11.5,Light Brown,Broad,10.5
275,1.7,12,,Broad,9.9
342,4.5,12.6,Cinnamon,Rounded,11.3
434,3,11.6,White,Broad,8.5
272,5,15.6,Black,Broad,9
479,1.6,14.6,Dark Brown,Pointed,6.3
200,6.4,14.5,Blond,Rounded,6.2
472,3.3,17.7,White,Pointed,10.4
356,8.2,12.6,Black,Pointed,10.4
445,5.1,15.9,Dark Brown,Broad,8.1
407,6.4,17,Light Brown,Broad,6.5
300,1.6,9.1,White,Pointed,9.1
318,2.8,8.4,White,Pointed,11.3
219,1.2,12.7,White,Pointed,9.5
488,6.9,18,Blond,Broad,5
463,3.1,12,Black,Broad,11.5
408,8.7,9.9,Cinnamon,Pointed,9.8
235,,14.8,Dark Brown,Broad,10
348,6,12.7,Dark Brown,Rounded,10.1
376,9.3,15.2,Dark Brown,Rounded,7.2
386,2,10.3,White,Broad,8.4
258,6.9,12.5,Dark Brown,Broad,7.8
417,7.3,8.8,Blond,Broad,9.3
300,5.9,15.4,Dark Brown,Broad,6.8
307,6.9,13.4,Dark Brown,Rounded,8.2
414,4.7,9.3,Dark Brown,Broad,11.1
337,9.4,8.1,Light Brown,Broad,6
300,2.9,12.5,White,Pointed,10.3
332,1.7,9.8,Black,Broad,11.7
477,8.7,16.1,,Broad,9.5
313,6.6,13.3,Blond,Rounded,6.4
343,3.4,7.7,Black,Broad,5.3
327,4.6,14.5,Light Brown,Pointed,10
285,,14.5,Blond,Rounded,11.9
419,4.7,11.1,Cinnamon,Pointed,9.7
246,9.4,10.4,Light Brown,Rounded,11.1
221,5.6,12.8,Blond,Broad,6.5
348,1.8,7.9,White,Broad,8.5
259,8.9,11.2,Blond,Pointed,7.6
263,8.3,15.7,Dark Brown,Rounded,6.9
428,4.3,16.8,Blond,Broad,9.3
302,5.5,13.4,Dark Brown,Broad,10.9
348,9.1,16.7,,Broad,7.8
393,5,8.6,Cinnamon,Pointed,10.9
321,4.4,10.5,Light Brown,Rounded,8.5
490,4.9,7.5,Black,Broad,8.5
232,5,12.4,Dark Brown,Broad,8.2
336,6.7,11,Dark Brown,Rounded,7.2
475,2.9,7.6,Black,Broad,10.7
221,6.8,15.1,Light Brown,Rounded,11.3
261,7.4,11.1,Light Brown,Broad,9.7
249,9.5,13.1,Black,Rounded,11.5
308,1.5,12,Black,Broad,9.9
296,5,16.5,Blond,Rounded,5.4
350,9.2,15.7,Light Brown,Broad,8.7
369,6.9,13.2,Blond,Pointed,6.4
276,9.4,14.8,Blond,Broad,8.4
476,9.6,17.7,Dark Brown,Rounded,5.5
251,9.1,15.6,Blond,Broad,9.9
320,1.9,13.2,Black,Pointed,8
408,5.3,9.8,White,Rounded,11.5
304,8,16.5,Light Brown,Pointed,9.1
488,4.4,16.7,Blond,Rounded,11.4
314,9.3,14.1,Blond,Rounded,5.2
327,4.3,10.5,Dark Brown,Pointed,11.4
360,9.7,16.3,Blond,Broad,5.8
259,,15.2,Dark Brown,Broad,8.6
474,1.6,7,White,Broad,12
452,5.4,10.3,Cinnamon,Pointed,8.1
283,3.2,10.7,Black,Broad,8.8
314,5.4,14.9,Blond,Rounded,9.2
398,6.7,14.5,Light Brown,Rounded,7.3
354,1.8,13.2,Dark Brown,Pointed,10.5
207,1.6,13.3,Blond,Broad,8.9
223,,15.9,Black,Rounded,5.7
256,2.2,11.5,Light Brown,Pointed,6.2
227,7.5,9.8,Dark Brown,Broad,8.4
393,4,16.7,Blond,Rounded,5.9
391,6.9,9.3,Cinnamon,Broad,9.4
391,4.1,12.5,Cinnamon,Pointed,9.3
429,3.6,8.3,Black,Broad,10
308,4,11.8,Dark Brown,Pointed,9.6
409,8.4,13.6,Light Brown,Rounded,6
225,2.4,17.3,Black,Broad,11.6
325,5.4,11.2,Dark Brown,Rounded,8.3
372,5.4,7.3,Light Brown,Pointed,10.5
271,6.5,16.3,Light Brown,Rounded,8.6
345,6.8,16.1,White,Pointed,8.9
362,5.7,11.1,Blond,Broad,9.5
230,6.1,16.4,Dark Brown,Broad,9.8
425,1.3,8.4,Black,Broad,8.6
450,1.3,7.8,White,Rounded,8.7
303,5.8,15.9,Light Brown,Broad,5.7
215,8.2,13.1,Dark Brown,Rounded,8.2
279,4.1,15.1,Blond,Rounded,6.8
244,8.7,16.2,Dark Brown,Rounded,9.8
388,3.1,13,Blond,Pointed,7.4
420,2.2,7,White,Rounded,11.8
433,5.8,11.4,Black,Broad,10.8
344,1.8,11.1,Light Brown,Rounded,5
340,5.3,7.1,White,Broad,10.8
268,1.1,9.3,Dark Brown,Broad,9.5
233,,11.8,White,Rounded,9.6
467,3.7,15.4,Black,Broad,5
224,6.6,17.4,,Rounded,6.5
451,8.4,15,Dark Brown,Rounded,8.5
406,1.2,12.9,White,Rounded,8.2
345,,18,Dark Brown,Rounded,5.6
463,5.2,18,Black,Pointed,6.8
391,2.9,17.9,Blond,Rounded,5.5
449,5.8,14.6,Dark Brown,Rounded,6.1
314,1.9,7.7,Cinnamon,Pointed,9.8
243,5.2,12.3,Blond,Rounded,11.1
453,4.3,16.8,Blond,Rounded,5.5
340,6.3,12.5,,Rounded,7.3
403,5.8,16.2,Blond,Rounded,7.9
469,1.6,9.9,Black,Pointed,10.7
315,4.2,10.9,Cinnamon,Broad,9.3
344,5.5,9.4,Black,Pointed,10.8
493,,7.8,Cinnamon,Rounded,9.8
206,1.4,10.8,Light Brown,Pointed,6.6
396,5.8,12.3,Black,Broad,8
350,7.6,12.2,Light Brown,Broad,5.1
358,7.3,8.4,Blond,Broad,10.9
374,1.2,11,Cinnamon,Pointed,11.5
340,7.9,17.3,Blond,Broad,7.5
471,2.5,15.9,Black,Pointed,8.3
347,2.9,12.2,Black,Pointed,9.4
212,4.9,11.3,Dark Brown,Rounded,8
487,4.3,7.4,Cinnamon,Broad,8.3
367,8,16.6,Dark Brown,Rounded,7.3
221,3.1,7.2,Black,Pointed,8.1
326,7.3,9.7,Dark Brown,Rounded,7.2
331,4,10.5,Blond,Broad,9.1
467,3,10.1,Blond,Broad,8.3
343,,10.3,White,Broad,9.6
400,4.9,9.5,Blond,Rounded,7.9
317,7.5,11.8,Cinnamon,Rounded,8.3
446,2.3,7.4,Black,Broad,11.4
318,4.8,15.5,Black,Broad,8
311,,13.8,Light Brown,Rounded,5.6
362,5.2,16.8,Dark Brown,Rounded,5.9
358,8.3,16.7,Blond,Rounded,6
324,9.4,12,Blond,Rounded,7.7
314,4.4,15.2,Light Brown,Rounded,5.1
362,4.2,16.9,White,Rounded,9.3
344,4.8,7.7,Black,Pointed,11.1
398,5,10.5,Dark Brown,Pointed,9.7
408,3,11.1,Black,Pointed,9.8
260,5,12,Dark Brown,Broad,5.7
272,5.5,10.1,,Rounded,6.9
481,1.3,12.8,White,Broad,10.5
435,1,14.9,Blond,Rounded,8
203,4,9.6,Black,Broad,8
430,3.1,11.7,White,Broad,8.6
327,5.6,14.3,Cinnamon,Broad,11.9
495,1.4,7.5,White,Rounded,10.2
389,8.6,12,Light Brown,Broad,8.9
325,1.4,9.4,Black,Broad,7.9
343,4,12.1,Black,Broad,8.3
218,4.2,12.4,Dark Brown,Rounded,7.8
391,6,14.6,Black,Pointed,10
210,8,8.4,Light Brown,Broad,5
274,4.9,7.5,Blond,Broad,8.8
334,,13.5,White,Broad,5.9
276,1.1,11.3,Blond,Broad,7.1
213,5.3,11.1,Light Brown,Broad,8
223,2.5,15.8,White,Pointed,8.3
246,1.3,12.7,Light Brown,Broad,7.5
495,1.8,9.6,White,Broad,9.4
217,4,13,Black,Broad,9.5
300,8.5,12,Black,Broad,8.8
401,8.9,12.4,Blond,Broad,6.8
211,6.1,13.2,Blond,Broad,7.2
476,5.1,8.7,Cinnamon,Broad,10.6
386,1.2,7.1,Light Brown,Broad,9.7
361,4.8,10.1,Black,Pointed,8
327,9.6,9.9,Cinnamon,Pointed,8.7
382,9.2,14.1,Cinnamon,Broad,5.3
264,6.3,13.1,Dark Brown,Rounded,8.9
225,1.6,7.5,White,Broad,9.8
471,4,8.6,White,Pointed,11.9
316,2.1,10.7,White,Pointed,11.4
330,2.1,10.7,Cinnamon,Broad,9.1
421,3.1,8.6,White,Pointed,10.9
318,7,16.2,Light Brown,Rounded,11.5
345,5.7,12.7,,Broad,9.3
480,4.7,9.7,White,Pointed,11
492,2.3,13,Black,Pointed,10.3
422,3.8,7.7,Black,Pointed,11.5
472,8.5,16.8,Black,Broad,6.7
382,1.9,7.7,Light Brown,Broad,9.3
359,7.8,8.9,Dark Brown,Broad,9.9
293,5.1,15.6,Light Brown,Rounded,7.6
407,5,17.1,Light Brown,Rounded,5.8
307,6.6,12.2,White,Pointed,9.9
479,4,10.4,Light Brown,Pointed,10.5
342,,16.9,Light Brown,Pointed,11.4
231,3.3,10.2,White,Broad,10.8
207,2.5,13.9,Blond,Rounded,5.2
308,4.9,11,Blond,Pointed,5
455,2.5,9.2,Black,Broad,11.6
340,2,11,White,Pointed,9.1
377,4.3,7.2,White,Pointed,10
357,4.8,9,Black,Pointed,8.4
334,2.4,17.1,Black,Broad,10.3
388,7.2,12.6,Blond,Broad,10.2
491,4.3,10.7,Cinnamon,Pointed,11.2
361,4.2,10.5,Dark Brown,Rounded,8.2
223,5.2,12.9,Cinnamon,Broad,10.6
372,4.4,11.3,White,Pointed,6.3
216,6.3,11.5,Blond,Rounded,6.2
423,5.4,9.9,Cinnamon,Pointed,11.4
279,,16.4,Blond,Pointed,9
338,7.9,17.3,Light Brown,Rounded,7.3
367,,15.3,Dark Brown,Rounded,9.8
472,4.2,12,Black,Broad,9.4
286,5.2,17.2,Light Brown,Broad,7.1
306,5.5,12.7,Cinnamon,Pointed,9.8
426,2.3,11,White,Rounded,8.7
400,1.2,11.2,White,Pointed,9.1
456,5.1,17.1,Black,Broad,8.4
277,2.6,11.6,Blond,Rounded,8.7
462,4.2,16.4,Black,Pointed,10
448,8.7,11.5,Cinnamon,Pointed,8.3
496,9,12.5,Light Brown,Broad,8.6
338,7.5,8.8,White,Broad,8.5
406,4.7,17.5,Dark Brown,Broad,11.9
351,8.9,12.6,Black,Pointed,10.7
423,3,7.3,Light Brown,Broad,9.7
277,9.6,11.5,Dark Brown,Rounded,10.4
405,1.4,17.3,Cinnamon,Pointed,6.4
305,2.4,11.4,Black,Pointed,11.4
329,4.6,12.3,White,Pointed,11.5
260,8.5,17,Dark Brown,Broad,6.5
315,2,10.2,Light Brown,Broad,9.2
410,4.2,10.1,Cinnamon,Rounded,9.6
315,1.7,11.9,Black,Broad,8.4
306,1.2,11.8,White,Pointed,9.3
304,2.2,10.8,Black,Pointed,10.5
234,4.8,7,Black,Rounded,11.4
375,7,13.2,Black,Broad,6
200,1,18,Blond,Broad,10
311,4.2,11.8,Cinnamon,Pointed,7.2
328,1,12,Cinnamon,Pointed,9.3
412,2.9,9.4,White,Broad,11.4
378,5.4,17.7,White,Pointed,10.4
492,5.1,10.3,White,Pointed,8.3
333,5.5,11.4,Light Brown,Pointed,10.3
204,4.5,11.5,Light Brown,Rounded,5.4
317,5.1,12.3,Light Brown,Rounded,7.9
316,4.5,12.6,Black,Broad,11.6
220,1.4,15.7,Dark Brown,Broad,7.9
442,4.6,7.1,Black,Pointed,11.2
374,4.5,15.2,Dark Brown,Rounded,7.1
245,8.4,12.7,Blond,Broad,10.2
334,4.8,14.1,Cinnamon,Broad,7.4
400,4.6,18,Blond,Broad,8.6
307,4,13.5,Dark Brown,Rounded,9.3
463,3,10.4,White,Rounded,9.5
430,4.4,10.8,Black,Broad,10.6
365,5.5,13.7,Light Brown,Rounded,8.2
233,4,7.6,Cinnamon,Rounded,12
356,9.2,7.3,Light Brown,Broad,9.3
223,7.6,17.6,Light Brown,Rounded,8.6
319,5.2,11.6,Dark Brown,Rounded,9.2
293,4.4,8,Dark Brown,Rounded,8.4
333,3.5,10.6,Dark Brown,Broad,9.5
333,3,9.7,White,Pointed,12
276,4.5,11.7,White,Pointed,11.6
448,3.9,13.2,Cinnamon,Broad,8.1
232,3.4,8.4,Cinnamon,Pointed,11.6
210,4,15.8,Blond,Pointed,11
351,1.7,7.9,White,Pointed,10.4
250,6.9,15.4,Dark Brown,Broad,10
481,2.3,8.5,White,Broad,5.5
313,4.8,10.2,Black,Broad,8.9
372,4.2,12.4,Black,Broad,10
359,8.1,16.1,Light Brown,Rounded,5.5
322,3,11.7,Black,Broad,9.9
259,4.5,12.5,,Broad,6.7
458,4.8,8.7,Black,Broad,9.6
230,4.4,12.4,,Rounded,7.5
415,1.8,9.1,Cinnamon,Pointed,8.9
317,5.1,8.4,Cinnamon,Pointed,7.9
368,9.1,15.5,Light Brown,Broad,9
498,2.4,11.3,Black,Pointed,9.4
329,8.2,12.3,Light Brown,Rounded,9.1
446,4.7,12.3,Cinnamon,Broad,9.9
334,7,16.4,Light Brown,Broad,6.5
468,4.6,10,Blond,Rounded,5.9
374,3,7.9,White,Broad,10.6
350,2.4,12.5,Cinnamon,Pointed,6.9
376,6.2,9.7,Cinnamon,Broad,11.5
235,5.3,12.9,Blond,Pointed,8.8
211,3.9,16.7,Blond,Broad,8.2
253,9,12,Light Brown,Rounded,10.4
263,6.7,12.9,White,Pointed,8.2
368,4.3,8,Black,Broad,10.8
296,2.6,7.6,White,Broad,9.9
297,7.4,13.6,Blond,Broad,5.8
297,7.9,15.1,Light Brown,Broad,6.9
321,2.5,17.2,Light Brown,Pointed,5.8
320,,16.3,Dark Brown,Broad,12
332,3.6,10,Black,Pointed,7.5
267,4.2,16.5,Dark Brown,Broad,5
335,4,9.9,Cinnamon,Pointed,6
320,4.8,12.9,Black,Broad,6
303,7.7,11.2,Blond,Broad,11.2
368,4.2,8.8,Cinnamon,Pointed,10.6
328,7.9,16.8,Dark Brown,Rounded,6.8
222,4.5,7.8,Cinnamon,Pointed,8.2
300,1.4,11.7,Cinnamon,Broad,8.8
312,2.3,8.7,Black,Rounded,8.9
410,5.2,13.8,Blond,Pointed,11.7
250,9,14,Black,Rounded,8.9
461,4.5,8.6,White,Pointed,7.2
214,6.4,14.2,Dark Brown,Broad,7.3
389,8.2,12.6,Blond,Rounded,10.2
438,2.5,7.8,White,Broad,10.7
475,7.3,11.7,Light Brown,Broad,8.2
240,9.6,13.2,Blond,Broad,7.7
397,9.9,10.1,Light Brown,Broad,9.8
416,3.5,11.8,Black,Pointed,12
295,5.6,16.2,Blond,Rounded,8.4
425,3.5,10.3,Black,Broad,11.6
492,5.3,8.8,White,Pointed,11.9
314,7.1,14.8,Blond,Rounded,11.9
406,3.5,10.3,Cinnamon,Rounded,8.9
309,7.7,16.9,Blond,Rounded,9.3
382,4.3,11.1,Blond,Broad,10.5
266,9.9,16.6,Light Brown,Pointed,8.6
229,7.8,13.5,Blond,Broad,7.2
399,7.9,16.9,Light Brown,Broad,8.4
247,9.2,16.6,Blond,Rounded,7.4
310,4.8,15.6,Cinnamon,Pointed,10.9
260,5,8.5,Dark Brown,Broad,8.7
283,3.6,10,Cinnamon,Pointed,11
215,7.2,14.3,Black,Broad,7
377,4.7,12.7,Light Brown,Broad,7.4
403,6.2,13.7,Cinnamon,Rounded,5.1
304,5.4,8.3,White,Broad,8.1
313,6.3,16.5,Black,Rounded,10.1
391,8.7,14.8,White,Rounded,8.3
464,3.7,8.2,White,Pointed,11.5
284,5.4,14,Dark Brown,Rounded,7.2
301,1.2,8.3,Cinnamon,Broad,10.4
353,4.9,9.9,Cinnamon,Rounded,11.8
261,6,12.3,Blond,Broad,11.5
387,9.6,10.1,Cinnamon,Broad,10.3
351,4.6,8.4,Black,Pointed,10.6
464,9.8,8.3,Black,Pointed,11.2
309,1.7,11.5,Black,Pointed,9.9
325,2.7,7.9,White,Rounded,11.8
385,4.4,12,,Pointed,7.7
472,6.6,11.2,White,Pointed,8.2
375,6.7,14.5,Light Brown,Broad,8
383,7.5,12.2,,Rounded,8.7
299,8.9,12.7,Light Brown,Rounded,5.1
398,5.3,12.3,Cinnamon,Broad,10.3
252,5.3,9.3,Dark Brown,Broad,7
